fold,treatment,outcome,outcome_role,true_direct,true_total,ate_true,ate_true_std,ate_est,ate_est_std,ate_error,ks_stat,ks_p,effect_by_ate,effect_by_ks,effect_present,pag_predicts_direct,pag_predicts_total,agreement_direct,agreement_total,model_prediction_source,model_ate,model_ate_std,model_ate_error,model_ks_stat,model_ks_p,model_effect_by_ate,model_effect_by_ks,model_effect_present,model_agreement
2,X0,X1,input,False,False,0.05199993482057378,0.05189587355294888,0.0,0.0,-0.05199993482057378,0.0375,0.12008880119724025,True,False,False,False,False,True,True,aligned_sem,0.05230328906452454,0.052198620730231696,0.0003033542439507611,0.038,0.11135887905231429,True,False,False,True
2,X0,X2,input,True,True,-2.3564571765146205,-1.2440075727364734,-2.4804690481860066,-1.309475220103869,-0.12401187167138605,0.6805,0.0,True,True,True,True,True,True,True,aligned_sem,-2.3568214794266353,-1.2441998934736518,-0.00036430291201483556,0.6805,0.0,True,True,True,True
2,X0,X3,output,True,True,-0.7469190073539655,-0.47116566410290456,-0.8948957657210234,-0.5645112168888825,-0.14797675836705781,0.212,9.44810349193205e-40,True,True,True,False,False,False,False,aligned_sem,-2.0285760573345657,-1.279650639261802,-1.2816570499806001,0.1405,1.265708207743793e-17,True,True,True,True
2,X0,X4,output,False,True,-2.426816094342221,-1.1373072378702072,-2.619477838550208,-1.2275965666163282,-0.19266174420798743,0.588,6.55e-321,True,True,True,False,False,True,False,aligned_sem,-2.03414427165768,-0.953284844460186,0.3926718226845409,0.7195,0.0,True,True,True,True
2,X0,X5,output,False,True,2.3588203141882644,0.8299132478920441,2.546783864928953,0.8960452207015998,0.1879635507406885,0.378,1.2258066656516508e-127,True,True,True,False,True,True,True,aligned_sem,3.2635817818583366,1.1482391176860045,0.9047614676700722,0.255,1.610754241463407e-57,True,True,True,True
2,X1,X0,input,False,False,0.04551071042449654,0.04548969075771985,0.0,0.0,-0.04551071042449654,0.025,0.5596752163759332,False,False,False,False,False,True,True,aligned_sem,0.04643641142096577,0.04641496420809501,0.000925700996469235,0.0255,0.5339072834011876,False,False,False,True
2,X1,X2,input,True,True,1.0215716219826372,0.5393023249074087,1.0598718737274915,0.5595215776412028,0.0383002517448543,0.235,7.833983228130431e-49,True,True,True,False,False,False,False,aligned_sem,1.022447011926849,0.5397644558260395,0.0008753899442117685,0.2345,1.2638758049302524e-48,True,True,True,True
2,X1,X3,output,False,True,0.9646342797652199,0.6085031262654931,0.9943826553544952,0.6272687661842817,0.029748375589275344,0.2685,8.390405993508994e-64,True,True,True,False,False,True,False,aligned_sem,2.243385232061062,1.4151548993876157,1.278750952295842,0.078,1.0291723649306065e-05,True,True,True,True
2,X1,X4,output,True,True,-0.4715690837762624,-0.2209969405530634,-0.3736362644846499,-0.17510153691491712,0.09793281929161246,0.0975,1.0788168455062825e-08,True,True,True,False,False,False,False,aligned_sem,-0.9882427396584936,-0.46313176478703305,-0.5166736558822312,0.2225,8.901297079049767e-44,True,True,True,True
2,X1,X5,output,True,True,-3.181838284090971,-1.1194789737623179,-3.195093618956191,-1.1241426515947164,-0.013255334865220014,0.5625,6.922017831507505e-292,True,True,True,False,False,False,False,aligned_sem,-3.9583489841292963,-1.3926818596351656,-0.7765107000383251,0.3015,1.327592564788108e-80,True,True,True,True
2,X2,X0,input,False,False,-0.03443288924964709,-0.03441698600727985,0.0,0.0,0.03443288924964709,0.031,0.291764846534962,False,False,False,False,False,True,True,aligned_sem,-0.12917865367063744,-0.12911899096202464,-0.09474576442099035,0.092,8.724334965755842e-08,True,True,True,False
2,X2,X1,input,False,False,0.028598725353656988,0.0285414941355213,0.0,0.0,-0.028598725353656988,0.0305,0.3100757299327459,False,False,False,False,False,True,True,aligned_sem,0.05957867609111134,0.05945944839248351,0.03097995073745435,0.044,0.041621298682206154,True,True,True,False
2,X2,X3,output,True,True,2.9472046515677235,1.8591328152464688,2.9378606173037918,1.8532384839119882,-0.009344034263931711,0.7555,0.0,True,True,True,False,False,False,False,aligned_sem,-116.44031524171982,-73.4519779508262,-119.38751989328753,0.22,8.437890685232294e-43,True,True,True,True
2,X2,X4,output,True,True,3.2889445071884325,1.5413365692189893,3.3101896278311216,1.5512929188297764,0.02124512064268913,0.7735,0.0,True,True,True,False,False,False,False,aligned_sem,36.51059432277379,17.110387259685776,33.22164981558536,0.67,0.0,True,True,True,True
